metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1701611229,1.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611229,11.242500,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611229,8.823400,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611229,0.966300,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611229,10.324900,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_receiving,1701611229,0.917600,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_failed,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
checks,1701611229,1.000000,status was 200,,,,,,,,default,,,,,,,
http_reqs,1701611229,1.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611229,11.754400,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611229,8.823400,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611229,0.966300,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611229,11.754400,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_receiving,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_failed,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
checks,1701611229,1.000000,status was 200,,,,,,,,default,,,,,,,
http_reqs,1701611229,1.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611229,12.392600,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611229,8.823400,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611229,0.966300,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611229,11.881300,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_receiving,1701611229,0.511300,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_failed,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
checks,1701611229,1.000000,status was 200,,,,,,,,default,,,,,,,
http_reqs,1701611229,1.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611229,12.933900,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611229,8.823400,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611229,0.966300,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611229,12.392600,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_receiving,1701611229,0.541300,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_failed,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
checks,1701611229,1.000000,status was 200,,,,,,,,default,,,,,,,
http_reqs,1701611229,1.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_duration,1701611229,12.933900,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_blocked,1701611229,8.823400,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_connecting,1701611229,0.966300,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_tls_handshaking,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_sending,1701611229,0.000000,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
http_req_waiting,1701611229,12.933900,,,,true,,DELETE,http://localhost:5000/users,HTTP/1.1,default,,200,,,http://localhost:5000/users,,
